"Station Id",,"Avg. Test Fees","Station Name",Address,City,ZIP,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
681,,$30,"SALT LAKE VALLEY GMC","725 WEST 3300 SOUTH","SALT LAKE CITY",84119,40.698261,-111.912243,1,rooftop,725,"W 3300 S","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
695,,$30,"MURRAY CAR CARE CENTER","5815 S STATE ST",MURRAY,84107,40.64462,-111.888436,1,rooftop,5815,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
715,,$35,"MASTER MUFFLER","6790 SOUTH STATE",MURRAY,84107,40.628272,-111.890444,1,rooftop,6790,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
741,,$38,"HILLSIDE TIRE","10651 SOUTH AUTOMALL DR.",SANDY,84070,40.557997,-111.893417,1,rooftop,10651,"S Automall Dr",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
746,,$36,"HILLSIDE TIRE","2255 FT. UNION BLVD. (6910 So.)","SALT LAKE CITY",84121,40.622557,-111.777749,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84121,US,"TIGER/Line® dataset from the US Census Bureau"
748,,$43,"TURN KEY SERVICE","4701 SOUTH 300 WEST",MURRAY,84107,40.669732,-111.899524,1,range_interpolation,4701,"S 300 W","Salt Lake City",UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
753,,$32,"ADVANCED AUTOMOTIVE","3994 So. 300 W. #1",MURRAY,84107,40.684777,-111.901866,1,rooftop,3994,"S 300 W","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
775,,$40,"CRAIG'S SERVICE CENTER","904 So 1300 E","Salt Lake City",84105,40.749442,-111.854297,1,rooftop,904,"S 1300 E","Salt Lake City",UT,"Salt Lake County",84105,US,"Utah AGRC (and individual UT counties)"
805,,$31,"LARRY H. MILLER HONDA","5808 SOUTH STATE",MURRAY,84107,40.644963,-111.889787,1,rooftop,5808,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
808,,$30,"D. DAHLE MAZDA","4595 SOUTH STATE",MURRAY,84107,40.67223,-111.887904,1,rooftop,4595,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
810,,$43,"UTAH SAFETY and EMISSIONS","3718 WEST 5400 SOUTH",KEARNS,84118,40.65339,-111.979418,0.8,rooftop,3718,"W 5400 S","Salt Lake City",UT,"Salt Lake County",84129,US,"Utah AGRC (and individual UT counties)"
831,,$30,"KEN GARFF NISSAN SL","777 S WEST TEMPLE","SALT LAKE CITY",84101,40.752437,-111.893797,1,range_interpolation,777,"S West Temple","Salt Lake City",UT,"Salt Lake County",84101,US,"TIGER/Line® dataset from the US Census Bureau"
832,,$32,"KEN GARFF WEST VALLEY DODGE","4175 WEST 3500 SOUTH","WEST VALLEY CITY",84120,40.695088,-111.990104,1,rooftop,4175,"W 3500 S","Salt Lake City",UT,"Salt Lake County",84120,US,"Utah AGRC (and individual UT counties)"
838,,$25,"NEW DEES AUTOMOTIVE","4062 S STATE ST",MURRAY,84107,40.683477,-111.888595,1,rooftop,4062,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
862,,$53,"QUICK LUBE","5555 SOUTH 900 EAST","SALT LAKE CITY",84117,40.650667,-111.865474,1,rooftop,5555,"S 900 E","Salt Lake City",UT,"Salt Lake County",84117,US,"Utah AGRC (and individual UT counties)"
863,,$19,"CU AUTO SALES","4144 S STATE ST",MURRAY,84107,40.681563,-111.888842,1,rooftop,4144,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
870,,$32,"UTAH VALLEY TIRE, INC.","420 SOUTH 500 EAST","SALT LAKE CITY",84102,40.760035,-111.877204,1,rooftop,420,"S 500 E","Salt Lake City",UT,"Salt Lake County",84102,US,"Utah AGRC (and individual UT counties)"
893,,$30,"JAKES AUTO AND TRUCK REPAIR","12665 S. MINUTEMAN DR.",DRAPER,84020,40.520815,-111.890339,1,rooftop,12665,"S Minuteman Dr",Draper,UT,"Salt Lake County",84020,US,"Utah AGRC (and individual UT counties)"
895,,$26,"SUNS AUTO REPAIRS","2448 S CONSTITUTION BLVD","WEST VALLEY CITY",84119,40.717268,-111.958453,1,rooftop,2448,"S Constitution Blvd","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
898,,$30,"BOW TIE AUTO REPAIR","69 W 3400 S0.","SALT LAKE CITY",84115,40.69774,-111.893455,1,rooftop,69,"W 3400 S","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
901,,$30,"AUTOGRAFF MOTOR WORKS","50 West 700 South","SALT LAKE CITY",84101,40.754272,-111.892503,1,range_interpolation,50,"W 700 S","Salt Lake City",UT,"Salt Lake County",84101,US,"TIGER/Line® dataset from the US Census Bureau"
